LLM,Alignment,Precision,Recall,F1
gpt-4o-2024-05-13,conference/conference-confof/component/no_validation,44.44,80.00,57.14
gpt-4o-2024-05-13,conference/conference-confof/component/llm_with_agent,81.82,60.00,69.23
gpt-4o-2024-05-13,conference/conference-edas/component/source_no_validation,14.81,94.12,25.60
gpt-4o-2024-05-13,conference/conference-edas/component/source,40.91,52.94,46.15
gpt-4o-2024-05-13,conference/conference-edas/component/target_no_validation,14.58,82.35,24.78
gpt-4o-2024-05-13,conference/conference-edas/component/target,45.45,58.82,51.28
gpt-4o-2024-05-13,conference/conference-edas/component/no_validation,37.84,82.35,51.85
gpt-4o-2024-05-13,conference/conference-edas/component/llm_with_agent,64.29,52.94,58.06
gpt-4o-2024-05-13,conference/conference-ekaw/component/source_no_validation,20.39,84.00,32.81
gpt-4o-2024-05-13,conference/conference-ekaw/component/source,42.31,44.00,43.14
gpt-4o-2024-05-13,conference/conference-ekaw/component/target_no_validation,20.21,76.00,31.93
gpt-4o-2024-05-13,conference/conference-ekaw/component/target,38.24,52.00,44.07
gpt-4o-2024-05-13,conference/conference-ekaw/component/no_validation,40.43,76.00,52.78
gpt-4o-2024-05-13,conference/conference-ekaw/component/llm_with_agent,58.82,40.00,47.62
gpt-4o-2024-05-13,conference/conference-iasted/component/source_no_validation,12.68,64.29,21.18
gpt-4o-2024-05-13,conference/conference-iasted/component/source,57.14,57.14,57.14
gpt-4o-2024-05-13,conference/conference-iasted/component/target_no_validation,8.22,42.86,13.79
gpt-4o-2024-05-13,conference/conference-iasted/component/target,33.33,35.71,34.48
gpt-4o-2024-05-13,conference/conference-iasted/component/no_validation,22.22,42.86,29.27
gpt-4o-2024-05-13,conference/conference-iasted/component/llm_with_agent,62.50,35.71,45.45
gpt-4o-2024-05-13,conference/conference-sigkdd/component/source_no_validation,19.74,100.00,32.97
gpt-4o-2024-05-13,conference/conference-sigkdd/component/source,45.45,66.67,54.05
gpt-4o-2024-05-13,conference/conference-sigkdd/component/target_no_validation,31.82,93.33,47.46
gpt-4o-2024-05-13,conference/conference-sigkdd/component/target,60.00,60.00,60.00
gpt-4o-2024-05-13,conference/conference-sigkdd/component/no_validation,51.85,93.33,66.67
gpt-4o-2024-05-13,conference/conference-sigkdd/component/llm_with_agent,75.00,60.00,66.67
gpt-4o-2024-05-13,conference/confof-edas/component/source_no_validation,26.67,84.21,40.51
gpt-4o-2024-05-13,conference/confof-edas/component/source,52.00,68.42,59.09
gpt-4o-2024-05-13,conference/confof-edas/component/target_no_validation,17.39,84.21,28.83
gpt-4o-2024-05-13,conference/confof-edas/component/target,43.33,68.42,53.06
gpt-4o-2024-05-13,conference/confof-edas/component/no_validation,41.67,78.95,54.55
gpt-4o-2024-05-13,conference/confof-edas/component/llm_with_agent,54.55,63.16,58.54
gpt-4o-2024-05-13,conference/confof-ekaw/component/source_no_validation,37.50,90.00,52.94
gpt-4o-2024-05-13,conference/confof-ekaw/component/source,75.00,60.00,66.67
gpt-4o-2024-05-13,conference/confof-ekaw/component/target_no_validation,22.86,80.00,35.56
gpt-4o-2024-05-13,conference/confof-ekaw/component/target,56.52,65.00,60.47
gpt-4o-2024-05-13,conference/confof-ekaw/component/no_validation,61.54,80.00,69.57
gpt-4o-2024-05-13,conference/confof-ekaw/component/llm_with_agent,84.62,55.00,66.67
gpt-4o-2024-05-13,conference/confof-iasted/component/source_no_validation,18.18,66.67,28.57
gpt-4o-2024-05-13,conference/confof-iasted/component/source,71.43,55.56,62.50
gpt-4o-2024-05-13,conference/confof-iasted/component/target_no_validation,12.77,66.67,21.43
gpt-4o-2024-05-13,conference/confof-iasted/component/target,66.67,44.44,53.33
gpt-4o-2024-05-13,conference/confof-iasted/component/no_validation,27.27,66.67,38.71
gpt-4o-2024-05-13,conference/confof-iasted/component/llm_with_agent,80.00,44.44,57.14
gpt-4o-2024-05-13,conference/confof-sigkdd/component/source_no_validation,26.92,100.00,42.42
gpt-4o-2024-05-13,conference/confof-sigkdd/component/source,87.50,100.00,93.33
gpt-4o-2024-05-13,conference/confof-sigkdd/component/target_no_validation,25.00,100.00,40.00
gpt-4o-2024-05-13,conference/confof-sigkdd/component/target,75.00,85.71,80.00
gpt-4o-2024-05-13,conference/confof-sigkdd/component/no_validation,43.75,100.00,60.87
gpt-4o-2024-05-13,conference/confof-sigkdd/component/llm_with_agent,85.71,85.71,85.71
gpt-4o-2024-05-13,conference/edas-ekaw/component/source_no_validation,17.27,82.61,28.57
gpt-4o-2024-05-13,conference/edas-ekaw/component/source,55.17,69.57,61.54
gpt-4o-2024-05-13,conference/edas-ekaw/component/target_no_validation,19.39,82.61,31.40
gpt-4o-2024-05-13,conference/edas-ekaw/component/target,42.42,60.87,50.00
gpt-4o-2024-05-13,conference/edas-ekaw/component/no_validation,48.65,78.26,60.00
gpt-4o-2024-05-13,conference/edas-ekaw/component/llm_with_agent,68.42,56.52,61.90
gpt-4o-2024-05-13,conference/edas-iasted/component/source_no_validation,21.54,73.68,33.33
gpt-4o-2024-05-13,conference/edas-iasted/component/source,34.62,47.37,40.00
gpt-4o-2024-05-13,conference/edas-iasted/component/target_no_validation,19.74,78.95,31.58
gpt-4o-2024-05-13,conference/edas-iasted/component/target,34.48,52.63,41.67
gpt-4o-2024-05-13,conference/edas-iasted/component/no_validation,43.33,68.42,53.06
gpt-4o-2024-05-13,conference/edas-iasted/component/llm_with_agent,50.00,47.37,48.65
gpt-4o-2024-05-13,conference/edas-sigkdd/component/source_no_validation,19.72,93.33,32.56
gpt-4o-2024-05-13,conference/edas-sigkdd/component/source,42.86,60.00,50.00
gpt-4o-2024-05-13,conference/edas-sigkdd/component/target_no_validation,32.61,100.00,49.18
gpt-4o-2024-05-13,conference/edas-sigkdd/component/target,63.16,80.00,70.59
gpt-4o-2024-05-13,conference/edas-sigkdd/component/no_validation,53.85,93.33,68.29
gpt-4o-2024-05-13,conference/edas-sigkdd/component/llm_with_agent,75.00,60.00,66.67
gpt-4o-2024-05-13,conference/ekaw-iasted/component/source_no_validation,14.93,100.00,25.97
gpt-4o-2024-05-13,conference/ekaw-iasted/component/source,32.00,80.00,45.71
gpt-4o-2024-05-13,conference/ekaw-iasted/component/target_no_validation,12.99,100.00,22.99
gpt-4o-2024-05-13,conference/ekaw-iasted/component/target,42.11,80.00,55.17
gpt-4o-2024-05-13,conference/ekaw-iasted/component/no_validation,38.46,100.00,55.56
gpt-4o-2024-05-13,conference/ekaw-iasted/component/llm_with_agent,61.54,80.00,69.57
gpt-4o-2024-05-13,conference/ekaw-sigkdd/component/source_no_validation,14.71,90.91,25.32
gpt-4o-2024-05-13,conference/ekaw-sigkdd/component/source,32.14,81.82,46.15
gpt-4o-2024-05-13,conference/ekaw-sigkdd/component/target_no_validation,27.03,90.91,41.67
gpt-4o-2024-05-13,conference/ekaw-sigkdd/component/target,66.67,90.91,76.92
gpt-4o-2024-05-13,conference/ekaw-sigkdd/component/no_validation,34.62,81.82,48.65
gpt-4o-2024-05-13,conference/ekaw-sigkdd/component/llm_with_agent,69.23,81.82,75.00
gpt-4o-2024-05-13,conference/iasted-sigkdd/component/source_no_validation,14.29,86.67,24.53
gpt-4o-2024-05-13,conference/iasted-sigkdd/component/source,68.42,86.67,76.47
gpt-4o-2024-05-13,conference/iasted-sigkdd/component/target_no_validation,25.00,93.33,39.44
gpt-4o-2024-05-13,conference/iasted-sigkdd/component/target,65.00,86.67,74.29
gpt-4o-2024-05-13,conference/iasted-sigkdd/component/no_validation,35.29,80.00,48.98
gpt-4o-2024-05-13,conference/iasted-sigkdd/component/llm_with_agent,76.47,86.67,81.25
