Alignment,Precision,Recall,F1
conference/confof-ekaw/component/source,82.35,70.00,75.68
conference/confof-ekaw/component/target_no_validation,78.95,75.00,76.92
conference/confof-ekaw/component/target,78.95,75.00,76.92
conference/confof-ekaw/component/no_validation,87.50,70.00,77.78
conference/confof-ekaw/component/,87.50,70.00,77.78
conference/confof-iasted/component/source_no_validation,55.56,55.56,55.56
conference/confof-iasted/component/source,55.56,55.56,55.56
conference/confof-iasted/component/target_no_validation,62.50,55.56,58.82
conference/confof-iasted/component/target,62.50,55.56,58.82
conference/confof-iasted/component/no_validation,62.50,55.56,58.82
conference/confof-iasted/component/,62.50,55.56,58.82
conference/confof-sigkdd/component/source_no_validation,66.67,57.14,61.54
conference/confof-sigkdd/component/source,66.67,57.14,61.54
conference/confof-sigkdd/component/target_no_validation,66.67,57.14,61.54
conference/confof-sigkdd/component/target,66.67,57.14,61.54
conference/confof-sigkdd/component/no_validation,80.00,57.14,66.67
conference/confof-sigkdd/component/,80.00,57.14,66.67
conference/edas-ekaw/component/source_no_validation,77.78,60.87,68.29
conference/edas-ekaw/component/source,77.78,60.87,68.29
conference/edas-ekaw/component/target_no_validation,63.64,60.87,62.22
conference/edas-ekaw/component/target,66.67,60.87,63.64
conference/edas-ekaw/component/no_validation,77.78,60.87,68.29
conference/edas-ekaw/component/,77.78,60.87,68.29
conference/edas-iasted/component/source_no_validation,71.43,52.63,60.61
conference/edas-iasted/component/source,71.43,52.63,60.61
conference/edas-iasted/component/target_no_validation,66.67,52.63,58.82
conference/edas-iasted/component/target,66.67,52.63,58.82
conference/edas-iasted/component/no_validation,71.43,52.63,60.61
conference/edas-iasted/component/,71.43,52.63,60.61
conference/edas-sigkdd/component/source_no_validation,64.29,60.00,62.07
conference/edas-sigkdd/component/source,64.29,60.00,62.07
conference/edas-sigkdd/component/target_no_validation,69.23,60.00,64.29
conference/edas-sigkdd/component/target,69.23,60.00,64.29
conference/edas-sigkdd/component/no_validation,75.00,60.00,66.67
conference/edas-sigkdd/component/,75.00,60.00,66.67
conference/ekaw-iasted/component/source_no_validation,64.29,90.00,75.00
conference/ekaw-iasted/component/source,64.29,90.00,75.00
conference/ekaw-iasted/component/target_no_validation,64.29,90.00,75.00
conference/ekaw-iasted/component/target,64.29,90.00,75.00
conference/ekaw-iasted/component/no_validation,69.23,90.00,78.26
conference/ekaw-iasted/component/,69.23,90.00,78.26
conference/ekaw-sigkdd/component/source_no_validation,66.67,72.73,69.57
conference/ekaw-sigkdd/component/source,66.67,72.73,69.57
conference/ekaw-sigkdd/component/target_no_validation,75.00,81.82,78.26
conference/ekaw-sigkdd/component/target,75.00,81.82,78.26
conference/ekaw-sigkdd/component/no_validation,72.73,72.73,72.73
conference/ekaw-sigkdd/component/,72.73,72.73,72.73
conference/iasted-sigkdd/component/source_no_validation,62.50,100.00,76.92
conference/iasted-sigkdd/component/source,62.50,100.00,76.92
conference/iasted-sigkdd/component/target_no_validation,60.87,93.33,73.68
conference/iasted-sigkdd/component/target,60.87,93.33,73.68
conference/iasted-sigkdd/component/no_validation,66.67,93.33,77.78
conference/iasted-sigkdd/component/,66.67,93.33,77.78
