Alignment,Precision,Recall,F1
conference/cmt-confof/component/target_no_validation,32.14,56.25,40.91
conference/cmt-confof/component/target,45.45,62.50,52.63
conference/cmt-confof/component/no_validation,50.00,50.00,50.00
conference/cmt-confof/component/,56.25,56.25,56.25
conference/cmt-edas/component/source_no_validation,25.00,76.92,37.74
conference/cmt-edas/component/source,36.67,84.62,51.16
conference/cmt-edas/component/target_no_validation,21.43,69.23,32.73
conference/cmt-edas/component/target,26.47,69.23,38.30
conference/cmt-edas/component/no_validation,47.37,69.23,56.25
conference/cmt-edas/component/,56.25,69.23,62.07
conference/cmt-ekaw/component/source_no_validation,21.62,72.73,33.33
conference/cmt-ekaw/component/source,23.53,72.73,35.56
conference/cmt-ekaw/component/target_no_validation,17.78,72.73,28.57
conference/cmt-ekaw/component/target,21.05,72.73,32.65
conference/cmt-ekaw/component/no_validation,35.00,63.64,45.16
conference/cmt-ekaw/component/,38.89,63.64,48.28
conference/cmt-iasted/component/source_no_validation,17.39,100.00,29.63
conference/cmt-iasted/component/source,19.05,100.00,32.00
conference/cmt-iasted/component/target_no_validation,16.00,100.00,27.59
conference/cmt-iasted/component/target,25.00,100.00,40.00
conference/cmt-iasted/component/no_validation,30.77,100.00,47.06
conference/cmt-iasted/component/,33.33,100.00,50.00
conference/cmt-sigkdd/component/source_no_validation,37.04,83.33,51.28
conference/cmt-sigkdd/component/source,47.83,91.67,62.86
conference/cmt-sigkdd/component/target_no_validation,44.44,100.00,61.54
conference/cmt-sigkdd/component/target,50.00,100.00,66.67
conference/cmt-sigkdd/component/no_validation,71.43,83.33,76.92
conference/cmt-sigkdd/component/,73.33,91.67,81.48
conference/conference-confof/component/source_no_validation,26.42,93.33,41.18
conference/conference-confof/component/source,32.61,100.00,49.18
conference/conference-confof/component/target_no_validation,27.50,73.33,40.00
conference/conference-confof/component/target,30.56,73.33,43.14
conference/conference-confof/component/no_validation,45.83,73.33,56.41
conference/conference-confof/component/,47.83,73.33,57.89
conference/conference-edas/component/source_no_validation,19.35,70.59,30.38
conference/conference-edas/component/source,26.00,76.47,38.81
conference/conference-edas/component/target_no_validation,22.64,70.59,34.29
conference/conference-edas/component/target,25.53,70.59,37.50
conference/conference-edas/component/no_validation,34.38,64.71,44.90
conference/conference-edas/component/,37.93,64.71,47.83
conference/conference-ekaw/component/source_no_validation,27.69,72.00,40.00
conference/conference-ekaw/component/source,32.79,80.00,46.51
conference/conference-ekaw/component/target_no_validation,27.27,72.00,39.56
conference/conference-ekaw/component/target,28.57,72.00,40.91
conference/conference-ekaw/component/no_validation,50.00,68.00,57.63
conference/conference-ekaw/component/,48.65,72.00,58.06
conference/conference-iasted/component/source_no_validation,14.89,50.00,22.95
conference/conference-iasted/component/source,22.86,57.14,32.65
conference/conference-iasted/component/target_no_validation,11.11,42.86,17.65
conference/conference-iasted/component/target,15.38,42.86,22.64
conference/conference-iasted/component/no_validation,21.74,35.71,27.03
conference/conference-iasted/component/,25.00,35.71,29.41
conference/conference-sigkdd/component/source_no_validation,31.82,93.33,47.46
conference/conference-sigkdd/component/source,37.84,93.33,53.85
conference/conference-sigkdd/component/target_no_validation,37.50,80.00,51.06
conference/conference-sigkdd/component/target,44.44,80.00,57.14
conference/conference-sigkdd/component/no_validation,52.38,73.33,61.11
conference/conference-sigkdd/component/,55.00,73.33,62.86
conference/confof-edas/component/source_no_validation,40.00,84.21,54.24
conference/confof-edas/component/source,43.24,84.21,57.14
conference/confof-edas/component/target_no_validation,30.19,84.21,44.44
conference/confof-edas/component/target,34.78,84.21,49.23
conference/confof-edas/component/no_validation,50.00,78.95,61.22
conference/confof-edas/component/,51.72,78.95,62.50
conference/confof-ekaw/component/source_no_validation,52.94,90.00,66.67
conference/confof-ekaw/component/source,51.52,85.00,64.15
conference/confof-ekaw/component/target_no_validation,32.14,90.00,47.37
conference/confof-ekaw/component/target,35.42,85.00,50.00
conference/confof-ekaw/component/no_validation,65.38,85.00,73.91
conference/confof-ekaw/component/,68.00,85.00,75.56
conference/confof-iasted/component/source_no_validation,29.63,88.89,44.44
conference/confof-iasted/component/source,25.00,66.67,36.36
conference/confof-iasted/component/target_no_validation,19.51,88.89,32.00
conference/confof-iasted/component/target,26.67,88.89,41.03
conference/confof-iasted/component/no_validation,38.10,88.89,53.33
conference/confof-iasted/component/,37.50,66.67,48.00
conference/confof-sigkdd/component/source_no_validation,25.00,100.00,40.00
conference/confof-sigkdd/component/source,31.82,100.00,48.28
conference/confof-sigkdd/component/target_no_validation,23.08,85.71,36.36
conference/confof-sigkdd/component/target,27.27,85.71,41.38
conference/confof-sigkdd/component/no_validation,37.50,85.71,52.17
conference/confof-sigkdd/component/,40.00,85.71,54.55
conference/edas-ekaw/component/source_no_validation,33.93,82.61,48.10
conference/edas-ekaw/component/source,38.78,82.61,52.78
conference/edas-ekaw/component/target_no_validation,30.77,86.96,45.45
conference/edas-ekaw/component/target,35.48,95.65,51.76
conference/edas-ekaw/component/no_validation,62.07,78.26,69.23
conference/edas-ekaw/component/,66.67,78.26,72.00
conference/edas-iasted/component/source_no_validation,34.78,84.21,49.23
conference/edas-iasted/component/source,37.50,78.95,50.85
conference/edas-iasted/component/target_no_validation,29.63,84.21,43.84
conference/edas-iasted/component/target,34.00,89.47,49.28
conference/edas-iasted/component/no_validation,55.56,78.95,65.22
conference/edas-iasted/component/,53.57,78.95,63.83
conference/edas-sigkdd/component/source_no_validation,28.21,73.33,40.74
conference/edas-sigkdd/component/source,41.38,80.00,54.55
conference/edas-sigkdd/component/target_no_validation,41.94,86.67,56.52
conference/edas-sigkdd/component/target,44.83,86.67,59.09
conference/edas-sigkdd/component/no_validation,50.00,66.67,57.14
conference/edas-sigkdd/component/,57.89,73.33,64.71
conference/ekaw-iasted/component/source_no_validation,21.74,100.00,35.71
conference/ekaw-iasted/component/source,21.95,90.00,35.29
conference/ekaw-iasted/component/target_no_validation,23.81,100.00,38.46
conference/ekaw-iasted/component/target,27.03,100.00,42.55
conference/ekaw-iasted/component/no_validation,45.45,100.00,62.50
conference/ekaw-iasted/component/,40.91,90.00,56.25
conference/ekaw-sigkdd/component/source_no_validation,25.64,90.91,40.00
conference/ekaw-sigkdd/component/source,33.33,90.91,48.78
conference/ekaw-sigkdd/component/target_no_validation,40.00,90.91,55.56
conference/ekaw-sigkdd/component/target,45.45,90.91,60.61
conference/ekaw-sigkdd/component/no_validation,50.00,81.82,62.07
conference/ekaw-sigkdd/component/,56.25,81.82,66.67
conference/iasted-sigkdd/component/source_no_validation,20.00,93.33,32.94
conference/iasted-sigkdd/component/source,27.78,100.00,43.48
conference/iasted-sigkdd/component/target_no_validation,33.33,93.33,49.12
conference/iasted-sigkdd/component/target,41.67,100.00,58.82
conference/iasted-sigkdd/component/no_validation,46.67,93.33,62.22
conference/iasted-sigkdd/component/,68.18,100.00,81.08
