Alignment,Precision,Recall,F1
conference/edas-iasted/component/,69.23,47.37,56.25
conference/edas-sigkdd/component/source_no_validation,76.92,66.67,71.43
conference/edas-sigkdd/component/source,76.92,66.67,71.43
conference/edas-sigkdd/component/target_no_validation,76.92,66.67,71.43
conference/edas-sigkdd/component/target,76.92,66.67,71.43
conference/edas-sigkdd/component/no_validation,83.33,66.67,74.07
conference/edas-sigkdd/component/,83.33,66.67,74.07
conference/ekaw-iasted/component/source_no_validation,71.43,100.00,83.33
conference/ekaw-iasted/component/source,71.43,100.00,83.33
conference/ekaw-iasted/component/target_no_validation,71.43,100.00,83.33
conference/ekaw-iasted/component/target,71.43,100.00,83.33
conference/ekaw-iasted/component/no_validation,76.92,100.00,86.96
conference/ekaw-iasted/component/,76.92,100.00,86.96
conference/ekaw-sigkdd/component/source_no_validation,80.00,72.73,76.19
conference/ekaw-sigkdd/component/source,80.00,72.73,76.19
conference/ekaw-sigkdd/component/target_no_validation,88.89,72.73,80.00
conference/ekaw-sigkdd/component/target,88.89,72.73,80.00
conference/ekaw-sigkdd/component/no_validation,88.89,72.73,80.00
conference/ekaw-sigkdd/component/,88.89,72.73,80.00
conference/iasted-sigkdd/component/source_no_validation,60.00,100.00,75.00
conference/iasted-sigkdd/component/source,60.00,100.00,75.00
conference/iasted-sigkdd/component/target_no_validation,60.87,93.33,73.68
conference/iasted-sigkdd/component/target,60.87,93.33,73.68
conference/iasted-sigkdd/component/no_validation,66.67,93.33,77.78
conference/iasted-sigkdd/component/,66.67,93.33,77.78
anatomy/mouse-human-suite/component/source_no_validation,54.01,91.89,68.03
anatomy/mouse-human-suite/component/source,57.99,91.95,71.12
anatomy/mouse-human-suite/component/target_no_validation,55.97,94.59,70.33
anatomy/mouse-human-suite/component/target,60.22,94.85,73.67
anatomy/mouse-human-suite/component/no_validation,89.87,89.58,89.73
anatomy/mouse-human-suite/component/,90.86,89.84,90.35
mse/MaterialInformationReduced-MatOnto/component/source_no_validation,15.00,13.04,13.95
mse/MaterialInformationReduced-MatOnto/component/source,23.08,13.04,16.67
mse/MaterialInformationReduced-MatOnto/component/target_no_validation,8.57,13.04,10.34
mse/MaterialInformationReduced-MatOnto/component/target,17.65,13.04,15.00
mse/MaterialInformationReduced-MatOnto/component/no_validation,20.00,13.04,15.79
mse/MaterialInformationReduced-MatOnto/component/,30.00,13.04,18.18
mse/MaterialInformation-MatOnto/component/source_no_validation,45.53,53.97,49.39
mse/MaterialInformation-MatOnto/component/source,59.23,50.99,54.80
mse/MaterialInformation-MatOnto/component/target_no_validation,52.71,77.15,62.63
mse/MaterialInformation-MatOnto/component/target,63.86,77.81,70.15
mse/MaterialInformation-MatOnto/component/no_validation,68.53,52.65,59.55
mse/MaterialInformation-MatOnto/component/,80.75,50.00,61.76
mse/MaterialInformation-EMMO/component/source_no_validation,81.69,92.06,86.57
mse/MaterialInformation-EMMO/component/source,83.82,90.48,87.02
mse/MaterialInformation-EMMO/component/target_no_validation,71.25,90.48,79.72
mse/MaterialInformation-EMMO/component/target,74.67,88.89,81.16
mse/MaterialInformation-EMMO/component/no_validation,91.94,90.48,91.20
mse/MaterialInformation-EMMO/component/,91.80,88.89,90.32
